id;direccion;comentario;destino;precio;image_1;image_1_content_type;image_2;image_2_content_type;image_3;image_3_content_type;image_4;image_4_content_type;image_5;image_5_content_type;precio_anterior;dormitorios;aseos;metros;garage;anioconstruccion;municipio_id;tipo_producto_id
1;mobile Fish;../fake-data/blob/hipster.txt;COMPRA;5808;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;45924;86617;33370;60111;14286;70807;1;1
2;Movies Producer;../fake-data/blob/hipster.txt;VACACIONAL;61748;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;30424;61165;52475;706;43194;2306;2;2
3;Namibia;../fake-data/blob/hipster.txt;VENTA;36636;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;23277;45606;9060;78517;61838;19967;3;3
4;Cambridgeshire Mississippi;../fake-data/blob/hipster.txt;COMPARTIR;68030;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;17052;45049;6505;1326;94888;94220;4;4
5;South Dakota envisioneer Music;../fake-data/blob/hipster.txt;COMPARTIR;44015;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;68326;12203;60999;49517;83319;3438;5;5
6;Regional;../fake-data/blob/hipster.txt;VENTA;75536;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;31171;42515;52006;20794;54671;56770;6;6
7;Industrial;../fake-data/blob/hipster.txt;VENTA;59789;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;72727;92187;32654;8849;57044;19598;7;7
8;Tasty Plastic Pizza scale;../fake-data/blob/hipster.txt;COMPARTIR;58675;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;35675;96525;28093;60703;54269;27599;8;8
9;scalable;../fake-data/blob/hipster.txt;COMPRA;98688;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;42340;77224;39488;19871;29348;552;9;9
10;overriding;../fake-data/blob/hipster.txt;VENTA;92630;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;35846;65107;11586;91495;86310;85003;10;10
